PageName,MIN,MAX,RANGE,MEAN,STD,MEDIAN,PCT90,Buried_Arc,CentroidX,CentroidY
AO53,-1.000,0.409,1.409,-0.920,0.188,-1.000,-0.711,0,716042,4339196
AP52,-1.000,0.584,1.584,-0.544,0.345,-0.587,-0.037,0,716037,4339191
AP53,-1.000,0.601,1.601,-0.240,0.392,-0.163,0.221,0,716042,4339191
AP54,-1.000,0.841,1.841,0.054,0.320,0.094,0.426,0,716047,4339191
AQ51,-1.000,0.278,1.278,-0.550,0.237,-0.552,-0.242,0,716032,4339186
AQ52,-1.000,0.777,1.777,-0.442,0.312,-0.425,-0.039,0,716037,4339186
AQ53,-1.000,0.799,1.799,-0.067,0.217,-0.052,0.205,0,716042,4339186
AQ54,-0.765,0.571,1.336,0.137,0.178,0.168,0.333,0,716047,4339186
AQ55,-1.000,0.746,1.746,0.016,0.236,0.033,0.307,0,716052,4339186
AR50,-1.000,0.555,1.555,-0.358,0.238,-0.364,-0.073,0,716027,4339181
AR51,-1.000,0.786,1.786,-0.210,0.324,-0.237,0.254,0,716032,4339181
AR52,-0.961,0.793,1.754,-0.050,0.284,-0.068,0.351,0,716037,4339181
AR53,-0.855,0.915,1.770,-0.149,0.261,-0.160,0.199,0,716042,4339181
AR54,-0.659,1.000,1.659,0.070,0.176,0.072,0.286,0,716047,4339181
AR55,-0.529,0.832,1.361,0.365,0.181,0.386,0.580,0,716052,4339181
AR56,-0.619,0.810,1.430,0.368,0.189,0.395,0.587,0,716057,4339181
AR57,-1.000,0.902,1.902,0.390,0.220,0.419,0.643,0,716062,4339181
AS49,-1.000,0.479,1.479,-0.196,0.248,-0.172,0.096,0,716022,4339176
AS50,-1.000,0.477,1.477,-0.251,0.283,-0.237,0.105,0,716027,4339176
AS51,-1.000,0.522,1.522,-0.130,0.256,-0.109,0.188,0,716032,4339176
AS52,-1.000,0.551,1.551,-0.272,0.214,-0.294,0.018,0,716037,4339176
AS53,-0.974,0.463,1.438,-0.242,0.199,-0.249,0.020,0,716042,4339176
AS54,-0.751,0.800,1.551,0.085,0.197,0.088,0.333,0,716047,4339176
AS55,-0.648,0.926,1.574,0.238,0.161,0.251,0.426,0,716052,4339176
AS56,-0.506,0.762,1.268,0.333,0.155,0.342,0.526,0,716057,4339176
AS57,-0.308,0.844,1.151,0.471,0.167,0.501,0.661,0,716062,4339176
AS58,-0.360,0.857,1.217,0.468,0.152,0.493,0.635,0,716067,4339176
AT49,-1.000,0.624,1.624,-0.040,0.270,-0.014,0.288,0,716022,4339171
AT50,-1.000,0.477,1.477,-0.637,0.389,-0.761,-0.056,0,716027,4339171
AT51,-1.000,0.584,1.584,-0.616,0.452,-0.929,0.062,0,716032,4339171
AT52,-0.933,0.512,1.446,-0.168,0.201,-0.164,0.090,0,716037,4339171
AT53,-0.976,0.484,1.460,-0.129,0.236,-0.102,0.171,0,716042,4339171
AT54,-0.682,0.847,1.529,-0.026,0.211,-0.035,0.252,0,716047,4339171
AT55,-0.502,0.778,1.280,0.125,0.174,0.136,0.340,0,716052,4339171
AT56,-0.931,0.598,1.529,0.172,0.177,0.190,0.381,0,716057,4339171
AT57,-0.260,0.855,1.115,0.351,0.174,0.363,0.569,0,716062,4339171
AT58,-0.642,0.797,1.439,0.263,0.239,0.299,0.539,0,716067,4339171
AT59,-0.595,1.000,1.595,0.281,0.245,0.284,0.587,0,716072,4339171
AT60,-1.000,0.916,1.916,0.166,0.252,0.207,0.430,0,716077,4339171
AU48,-1.000,0.487,1.487,-0.175,0.254,-0.144,0.131,0,716017,4339166
AU49,-1.000,0.614,1.614,-0.288,0.310,-0.247,0.085,0,716022,4339166
AU50,-1.000,0.461,1.461,-0.892,0.254,-1.000,-0.707,0,716027,4339166
AU51,-1.000,0.622,1.622,-0.269,0.521,-0.069,0.308,0,716032,4339166
AU52,-0.883,0.496,1.379,0.010,0.232,0.042,0.289,0,716037,4339166
AU53,-1.000,0.573,1.573,-0.013,0.257,0.032,0.262,0,716042,4339166
AU54,-0.926,0.582,1.509,-0.106,0.177,-0.102,0.110,0,716047,4339166
AU55,-0.691,0.527,1.218,-0.039,0.195,-0.024,0.205,0,716052,4339166
AU56,-0.695,0.808,1.502,0.008,0.200,0.014,0.258,0,716057,4339166
AU57,-0.853,0.647,1.499,0.128,0.222,0.164,0.386,0,716062,4339166
AU58,-0.781,0.898,1.678,0.105,0.218,0.107,0.377,0,716067,4339166
AU59,-0.865,1.000,1.865,0.114,0.263,0.108,0.448,0,716072,4339166
AU60,-1.000,0.701,1.701,0.212,0.202,0.233,0.448,1,716077,4339166
AU61,-0.913,0.790,1.702,0.381,0.193,0.427,0.566,1,716082,4339166
AV47,-1.000,0.719,1.719,-0.088,0.267,-0.068,0.237,0,716012,4339161
AV48,-1.000,0.551,1.551,-0.193,0.238,-0.193,0.108,0,716017,4339161
AV49,-1.000,0.560,1.560,-0.260,0.302,-0.257,0.137,0,716022,4339161
AV50,-1.000,0.570,1.570,-0.126,0.291,-0.084,0.209,0,716027,4339161
AV51,-1.000,0.776,1.776,-0.118,0.430,0.012,0.306,0,716032,4339161
AV52,-1.000,0.303,1.303,-0.652,0.384,-0.842,-0.086,0,716037,4339161
AV53,-1.000,0.563,1.563,-0.027,0.188,-0.014,0.202,0,716042,4339161
AV54,-1.000,0.697,1.697,-0.061,0.213,-0.053,0.217,0,716047,4339161
AV55,-0.717,0.478,1.195,-0.088,0.213,-0.077,0.183,0,716052,4339161
AV56,-0.882,0.547,1.429,-0.160,0.178,-0.159,0.067,0,716057,4339161
AV57,-0.788,0.741,1.530,0.062,0.245,0.044,0.412,0,716062,4339161
AV58,-0.717,0.645,1.362,0.214,0.196,0.245,0.435,0,716067,4339161
AV59,-1.000,0.574,1.574,0.063,0.189,0.078,0.294,0,716072,4339161
AV60,-1.000,0.632,1.632,0.016,0.284,0.071,0.308,1,716077,4339161
AV61,-1.000,0.727,1.727,0.326,0.187,0.362,0.523,1,716082,4339161
